Potential Energy , -559.055 , Kinetic Energy , 291.708 , Total Energy , -267.348
Potential Energy , -559.453 , Kinetic Energy , 292.155 , Total Energy , -267.297
Potential Energy , -559.849 , Kinetic Energy , 292.602 , Total Energy , -267.247
Potential Energy , -560.244 , Kinetic Energy , 293.047 , Total Energy , -267.197
Potential Energy , -560.637 , Kinetic Energy , 293.491 , Total Energy , -267.146
Potential Energy , -561.028 , Kinetic Energy , 293.933 , Total Energy , -267.095
Potential Energy , -561.418 , Kinetic Energy , 294.374 , Total Energy , -267.044
Potential Energy , -561.806 , Kinetic Energy , 294.813 , Total Energy , -266.993
Potential Energy , -562.193 , Kinetic Energy , 295.251 , Total Energy , -266.942
Potential Energy , -562.578 , Kinetic Energy , 295.688 , Total Energy , -266.89
Potential Energy , -562.96 , Kinetic Energy , 296.122 , Total Energy , -266.838
Potential Energy , -563.341 , Kinetic Energy , 296.555 , Total Energy , -266.786
Potential Energy , -563.72 , Kinetic Energy , 296.986 , Total Energy , -266.734
Potential Energy , -564.097 , Kinetic Energy , 297.416 , Total Energy , -266.681
Potential Energy , -564.472 , Kinetic Energy , 297.843 , Total Energy , -266.629
Potential Energy , -564.845 , Kinetic Energy , 298.269 , Total Energy , -266.576
Potential Energy , -565.215 , Kinetic Energy , 298.692 , Total Energy , -266.523
Potential Energy , -565.584 , Kinetic Energy , 299.114 , Total Energy , -266.47
Potential Energy , -565.95 , Kinetic Energy , 299.533 , Total Energy , -266.417
Potential Energy , -566.313 , Kinetic Energy , 299.95 , Total Energy , -266.363
Potential Energy , -566.674 , Kinetic Energy , 300.365 , Total Energy , -266.309
Potential Energy , -567.033 , Kinetic Energy , 300.778 , Total Energy , -266.255
Potential Energy , -567.389 , Kinetic Energy , 301.188 , Total Energy , -266.201
Potential Energy , -567.743 , Kinetic Energy , 301.596 , Total Energy , -266.147
Potential Energy , -568.094 , Kinetic Energy , 302.001 , Total Energy , -266.092
Potential Energy , -568.442 , Kinetic Energy , 302.404 , Total Energy , -266.038
Potential Energy , -568.787 , Kinetic Energy , 302.805 , Total Energy , -265.983
Potential Energy , -569.13 , Kinetic Energy , 303.202 , Total Energy , -265.928
Potential Energy , -569.47 , Kinetic Energy , 303.597 , Total Energy , -265.873
Potential Energy , -569.807 , Kinetic Energy , 303.989 , Total Energy , -265.817
Potential Energy , -570.14 , Kinetic Energy , 304.379 , Total Energy , -265.762
Potential Energy , -570.471 , Kinetic Energy , 304.765 , Total Energy , -265.706
Potential Energy , -570.799 , Kinetic Energy , 305.149 , Total Energy , -265.65
Potential Energy , -571.123 , Kinetic Energy , 305.529 , Total Energy , -265.594
Potential Energy , -571.444 , Kinetic Energy , 305.907 , Total Energy , -265.537
Potential Energy , -571.762 , Kinetic Energy , 306.281 , Total Energy , -265.481
Potential Energy , -572.076 , Kinetic Energy , 306.652 , Total Energy , -265.424
Potential Energy , -572.388 , Kinetic Energy , 307.02 , Total Energy , -265.367
Potential Energy , -572.695 , Kinetic Energy , 307.385 , Total Energy , -265.31
Potential Energy , -572.999 , Kinetic Energy , 307.746 , Total Energy , -265.253
Potential Energy , -573.3 , Kinetic Energy , 308.104 , Total Energy , -265.196
Potential Energy , -573.597 , Kinetic Energy , 308.459 , Total Energy , -265.138
Potential Energy , -573.89 , Kinetic Energy , 308.81 , Total Energy , -265.08
Potential Energy , -574.179 , Kinetic Energy , 309.157 , Total Energy , -265.022
Potential Energy , -574.465 , Kinetic Energy , 309.501 , Total Energy , -264.964
Potential Energy , -574.747 , Kinetic Energy , 309.841 , Total Energy , -264.906
Potential Energy , -575.025 , Kinetic Energy , 310.177 , Total Energy , -264.848
Potential Energy , -575.299 , Kinetic Energy , 310.509 , Total Energy , -264.789
Potential Energy , -575.569 , Kinetic Energy , 310.838 , Total Energy , -264.73
Potential Energy , -575.834 , Kinetic Energy , 311.163 , Total Energy , -264.672
Potential Energy , -576.096 , Kinetic Energy , 311.483 , Total Energy , -264.613
Potential Energy , -576.354 , Kinetic Energy , 311.8 , Total Energy , -264.553
Potential Energy , -576.607 , Kinetic Energy , 312.113 , Total Energy , -264.494
Potential Energy , -576.856 , Kinetic Energy , 312.421 , Total Energy , -264.435
Potential Energy , -577.1 , Kinetic Energy , 312.725 , Total Energy , -264.375
Potential Energy , -577.341 , Kinetic Energy , 313.025 , Total Energy , -264.315
Potential Energy , -577.576 , Kinetic Energy , 313.321 , Total Energy , -264.255
Potential Energy , -577.808 , Kinetic Energy , 313.612 , Total Energy , -264.195
Potential Energy , -578.034 , Kinetic Energy , 313.899 , Total Energy , -264.135
Potential Energy , -578.257 , Kinetic Energy , 314.182 , Total Energy , -264.075
Potential Energy , -578.474 , Kinetic Energy , 314.46 , Total Energy , -264.014
Potential Energy , -578.687 , Kinetic Energy , 314.733 , Total Energy , -263.954
Potential Energy , -578.895 , Kinetic Energy , 315.002 , Total Energy , -263.893
Potential Energy , -579.098 , Kinetic Energy , 315.266 , Total Energy , -263.832
Potential Energy , -579.297 , Kinetic Energy , 315.526 , Total Energy , -263.771
Potential Energy , -579.49 , Kinetic Energy , 315.781 , Total Energy , -263.71
Potential Energy , -579.679 , Kinetic Energy , 316.03 , Total Energy , -263.649
Potential Energy , -579.863 , Kinetic Energy , 316.276 , Total Energy , -263.587
Potential Energy , -580.042 , Kinetic Energy , 316.516 , Total Energy , -263.526
Potential Energy , -580.215 , Kinetic Energy , 316.751 , Total Energy , -263.464
Potential Energy , -580.384 , Kinetic Energy , 316.981 , Total Energy , -263.403
Potential Energy , -580.547 , Kinetic Energy , 317.207 , Total Energy , -263.341
Potential Energy , -580.706 , Kinetic Energy , 317.427 , Total Energy , -263.279
Potential Energy , -580.859 , Kinetic Energy , 317.642 , Total Energy , -263.217
Potential Energy , -581.006 , Kinetic Energy , 317.852 , Total Energy , -263.155
Potential Energy , -581.149 , Kinetic Energy , 318.057 , Total Energy , -263.092
Potential Energy , -581.286 , Kinetic Energy , 318.256 , Total Energy , -263.03
Potential Energy , -581.418 , Kinetic Energy , 318.45 , Total Energy , -262.968
Potential Energy , -581.544 , Kinetic Energy , 318.639 , Total Energy , -262.905
Potential Energy , -581.665 , Kinetic Energy , 318.823 , Total Energy , -262.843
Potential Energy , -581.781 , Kinetic Energy , 319.001 , Total Energy , -262.78
Potential Energy , -581.891 , Kinetic Energy , 319.174 , Total Energy , -262.717
Potential Energy , -581.996 , Kinetic Energy , 319.341 , Total Energy , -262.654
Potential Energy , -582.095 , Kinetic Energy , 319.503 , Total Energy , -262.592
Potential Energy , -582.188 , Kinetic Energy , 319.659 , Total Energy , -262.529
Potential Energy , -582.276 , Kinetic Energy , 319.81 , Total Energy , -262.466
Potential Energy , -582.358 , Kinetic Energy , 319.955 , Total Energy , -262.403
Potential Energy , -582.434 , Kinetic Energy , 320.095 , Total Energy , -262.339
Potential Energy , -582.505 , Kinetic Energy , 320.229 , Total Energy , -262.276
Potential Energy , -582.57 , Kinetic Energy , 320.357 , Total Energy , -262.213
Potential Energy , -582.629 , Kinetic Energy , 320.48 , Total Energy , -262.15
Potential Energy , -582.683 , Kinetic Energy , 320.597 , Total Energy , -262.086
Potential Energy , -582.73 , Kinetic Energy , 320.708 , Total Energy , -262.023
Potential Energy , -582.772 , Kinetic Energy , 320.813 , Total Energy , -261.959
Potential Energy , -582.808 , Kinetic Energy , 320.913 , Total Energy , -261.896
Potential Energy , -582.839 , Kinetic Energy , 321.006 , Total Energy , -261.832
Potential Energy , -582.863 , Kinetic Energy , 321.094 , Total Energy , -261.769
Potential Energy , -582.882 , Kinetic Energy , 321.176 , Total Energy , -261.705
Potential Energy , -582.894 , Kinetic Energy , 321.252 , Total Energy , -261.642
Potential Energy , -582.901 , Kinetic Energy , 321.323 , Total Energy , -261.578
Potential Energy , -582.902 , Kinetic Energy , 321.387 , Total Energy , -261.514
Potential Energy , -582.896 , Kinetic Energy , 321.446 , Total Energy , -261.451
Potential Energy , -582.885 , Kinetic Energy , 321.498 , Total Energy , -261.387
